primary,count,cumulative_count,cumulative_percent,tag
professional_services,79468,79468,3.7871462536713176,Civic and utility
restaurant,70266,149734,7.1357597667894135,Social & Leisure
beauty_and_spa,66047,215781,10.283311594144191,Social & Leisure
shopping,43384,259165,12.350830004941953,Essential needs
beauty_salon,40314,299479,14.272043752242821,Social & Leisure
active_life,37770,337249,16.072020019434216,Social & Leisure
automotive_repair,28720,365969,17.440707294883957,Essential needs
clothing_store,24627,390596,18.614337571085244,Essential needs
community_services_non_profits,24080,414676,19.7618998828133,Civic and utility
real_estate,23443,438119,20.87910516827181,Other
pharmacy,22660,460779,21.958995616102282,Health services
bakery,21885,482664,23.00195247624217,Essential needs
bar,19800,502464,23.94554607143385,Social & Leisure
hotel,19432,521896,24.87160216950277,Social & Leisure
pizza_restaurant,17995,539891,25.729176247557024,Social & Leisure
cafe,17432,557323,26.559919861263147,Social & Leisure
contractor,16990,574313,27.369599415925094,Civic and utility
hospital,16947,591260,28.177229752173243,Health services
education,16808,608068,28.97823587075818,Education
flowers_and_gifts_shop,16415,624483,29.760513086165822,Essential needs
construction_services,16328,640811,30.538644208503683,Civic and utility
sports_club_and_league,14610,655421,31.234901906773903,Social & Leisure
home_improvement_store,14328,669749,31.917720544748974,Essential needs
supermarket,14095,683844,32.589435278295774,Essential needs
church_cathedral,13303,697147,33.223406268034914,Social & Leisure
furniture_store,13282,710429,33.85637647668823,Essential needs
social_service_organizations,13249,723678,34.48777402934957,Civic and utility
elementary_school,13130,736808,35.113500489191324,Education
real_estate_agent,12560,749368,35.712062890989685,Other
eyewear_and_optician,12470,761838,36.30633623099172,Health services
health_and_medical,12429,774267,36.898655665064304,Health services
event_planning,11822,786089,37.46204776013279,Social & Leisure
physical_therapy,11598,797687,38.014764856952645,Health services
insurance_agency,11425,809112,38.55923742387511,Essential needs
french_restaurant,11384,820496,39.10175608486814,Social & Leisure
advertising_agency,11337,831833,39.64203490247865,Other
car_dealer,11053,842886,40.16877934730964,Essential needs
accommodation,10974,853860,40.6917589490083,Essential needs
dentist,10659,864519,41.19972683441981,Health services
bed_and_breakfast,10645,875164,41.70702753244079,Social & Leisure
bank_credit_union,10620,885784,42.213136824407236,Essential needs
naturopathic_holistic,10400,896184,42.708761743093774,Health services
automotive,10102,906286,43.190185101610254,Essential needs
gas_station,10099,916385,43.67146549140019,Essential needs
women's_clothing_store,9520,925905,44.125152916967096,Essential needs
jewelry_store,9500,935405,44.577887217690375,Social & Leisure
butcher_shop,9488,944893,45.03004964350748,Essential needs
grocery_store,8789,953682,45.448900356039786,Essential needs
hair_salon,8733,962415,45.86508231900993,Social & Leisure
shoe_store,8650,971065,46.27730881387902,Essential needs
wholesale_store,8541,979606,46.68434077835034,Essential needs
travel_services,8536,988142,47.09113446161075,Social & Leisure
driving_school,8490,996632,47.495735957730815,Education
