"label","est","se","pvalue","std.all"
"a",-0.33992120454067,0.0234907189555344,0,-0.330382108966074
"b",0.0680520609134703,0.020423418173031,0.000862055749361934,0.130114215743961
"c",0.0972137615505493,0.0203238594421577,1.72497705408503e-06,0.180654788770387
"indirect",-0.0231323385171819,0.00732812877063964,0.00159592717498214,-0.0429874090039567
"direct",0.0972137615505493,0.0203238594421577,1.72497705408503e-06,0.180654788770387
"total",0.0740814230333674,0.0172044342670123,1.66271080013214e-05,0.13766737976643
"direct_div",0.0972137615505493,0.0203238594421577,1.72497705408503e-06,0.180654788770387
"direct_dur",0.0913053327735277,0.0191972381579422,1.97300108029097e-06,0.0978714621476073
"indirect_div",-0.0231323385171819,0.00732812877063964,0.00159592717498214,-0.0429874090039567
"indirect_dur",-0.0217264082003753,0.00688556986418363,0.00160303651085436,-0.0232888405659806
"total_div",0.0740814230333674,0.0172044342670123,1.66271080013214e-05,0.13766737976643
"total_dur",0.0695789245731524,0.0162527133657975,1.86000900359584e-05,0.0745826215816266
