ID,ak,mode
10_2984,7411,car
10_2993,2611,car
10_2998,29099,car
10_3021,523,car
10_3039,26558,car
10_3042,3374,car
10_3060,21880,car
10_3075,3827,car
10_3076,5921,car
10_3098,3719,car
10_3126,1483,car
10_3133,15493,car
10_3150,957,car
12_3192,11758,car
12_3197,140,car
12_3216,516,car
12_3217,1026,car
12_3229,26941,car
12_3238,485,car
12_3241,5389,car
12_3245,623,car
12_3246,22320,car
12_3253,830,car
12_3259,3141,car
12_3261,25329,car
12_3262,1384,car
12_3266,8533,car
12_3278,16374,car
12_3282,3165,car
12_3290,67,car
12_3302,17626,car
12_3304,12166,car
12_3307,35506,car
12_3309,82,car
12_3314,3302,car
12_3332,50,car
12_3361,5601,car
12_3369,1784,car
12_3380,21605,car
12_3389,2465,car
12_3397,33320,car
13_3401,1182,car
13_3426,15277,car
13_3428,483,car
13_3434,1228,car
13_3436,441,car
13_3439,1496,car
13_3449,4165,car
13_3453,4299,car
13_3465,885,car
13_3473,250,car
13_3480,133,car
13_3532,6673,car
13_3536,1258,car
13_3544,28758,car
13_3553,824,car
13_3556,845,car
13_3562,497,car
13_3568,1662,car
13_3580,29014,car
13_3586,15877,car
13_3588,26456,car
14_3632,5249,car
14_3655,5679,car
14_3699,30273,car
14_3710,30177,car
14_3725,9379,car
16_3777,8451,car
16_3866,21939,car
16_3886,20080,car
16_3903,4178,car
16_3909,26442,car
16_3932,31066,car
16_3950,10162,car
16_3977,1600,car
16_3991,5621,car
16_4013,29007,car
16_4014,12158,car
16_4047,10120,car
16_4058,4498,car
16_4103,16828,car
16_4105,14972,car
16_4116,37808,car
2_1791,10,car
2_1831,1735,car
2_1834,25787,car
2_1838,33736,car
2_1847,7430,car
2_1861,1240,car
2_1863,2427,car
2_1870,20770,car
2_1879,1,car
2_1880,8409,car
2_1894,4015,car
2_1922,11834,car
2_1944,21684,car
2_1986,9688,car
2_1991,1392,car
2_1996,3032,car
2_1999,95,car
2_2000,890,car
2_2002,292,car
2_2003,1632,car
2_2014,42,car
2_2019,438,car
3_2023,9657,car
3_2024,29720,car
3_2030,1432,car
3_2037,12100,car
3_2040,286,car
3_2044,12762,car
3_2045,12781,car
3_2047,12632,car
3_2048,20401,car
3_2067,2295,car
3_2071,463,car
3_2073,519,car
3_2075,20073,car
3_2084,194,car
3_2086,739,car
3_2088,26861,car
3_2090,18332,car
3_2094,1826,car
3_2113,8045,car
3_2114,870,car
3_2124,13,car
3_2130,4478,car
3_2134,5857,car
3_2157,7438,car
3_2158,20319,car
3_2164,32288,car
3_2179,20146,car
3_2182,942,car
3_2183,3953,car
3_2200,10188,car
3_2202,848,car
3_2210,3506,car
3_2217,4700,car
3_2219,120,car
3_2220,2451,car
42_0001,5539,car
42_0034,14408,car
42_0083,2921,car
42_0087,279,car
42_0092,788,car
42_0096,3243,car
42_0102,16347,car
42_0105,20,car
42_0114,1524,car
42_0120,412,car
42_0128,5209,car
42_0129,1650,car
42_0145,7933,car
42_0155,1218,car
42_0165,8249,car
42_0168,21778,car
42_0172,1115,car
42_0175,3651,car
42_0182,2241,car
42_0191,9931,car
42_0210,9189,car
42_0224,1092,car
42_0225,2346,car
42_0226,9594,car
42_0232,558,car
42_0272,3558,car
42_0277,35780,car
42_0278,28088,car
42_0279,1109,car
42_0308,2879,car
42_0334,2651,car
42_0338,34117,car
42_0361,152,car
42_0365,19889,car
42_0383,1190,car
42_0386,181,car
42_0389,2153,car
42_0390,6982,car
42_0391,2154,car
42_0399,10939,car
42_0407,1481,car
42_0418,3955,car
42_0424,64,car
42_0432,2187,car
42_0434,3455,car
42_0471,9921,car
42_0477,237,car
42_0478,4408,car
42_0490,5026,car
42_0498,5762,car
42_0510,1025,car
42_0512,879,car
42_0522,2977,car
42_0538,34505,car
42_0540,5317,car
42_0550,8691,car
42_0555,36173,car
42_0558,477,car
42_0578,13003,car
42_0581,22834,car
42_0582,17646,car
42_0589,2777,car
45_599,1162,car
45_600,1767,car
45_619,636,car
45_645,20535,car
45_655,130,car
45_665,6380,car
45_679,30850,car
45_686,7373,car
45_687,35506,car
45_696,8793,car
45_742,29955,car
46_0788,7974,car
46_0812,111,car
46_0820,529,car
46_0833,202,car
46_0859,20903,car
46_0866,11619,car
46_0873,239,car
46_0886,404,car
46_0893,22693,car
46_0894,2448,car
46_0901,7934,car
46_0921,3465,car
46_0926,28508,car
46_0928,5892,car
46_0932,11888,car
46_0935,3043,car
46_0945,2233,car
46_0947,26,car
