ID,ak,mode,hour,budget
10_2984,275,car,17,60
10_2993,435,car,17,60
10_2998,3792,car,17,60
10_3039,2493,car,17,60
10_3060,1339,car,17,60
10_3075,853,car,17,60
10_3076,952,car,17,60
10_3098,22,car,17,60
10_3133,2024,car,17,60
12_3192,613,car,17,60
12_3197,9,car,17,60
12_3229,3816,car,17,60
12_3241,417,car,17,60
12_3246,3604,car,17,60
12_3259,321,car,17,60
12_3261,2886,car,17,60
12_3266,1164,car,17,60
12_3278,1909,car,17,60
12_3302,1810,car,17,60
12_3304,850,car,17,60
12_3307,15359,car,17,60
12_3314,126,car,17,60
12_3361,8,car,17,60
12_3380,1395,car,17,60
12_3389,150,car,17,60
12_3397,10058,car,17,60
13_3401,362,car,17,60
13_3426,805,car,17,60
13_3465,144,car,17,60
13_3532,324,car,17,60
13_3544,3683,car,17,60
13_3553,210,car,17,60
13_3580,5286,car,17,60
13_3586,1013,car,17,60
13_3588,3137,car,17,60
14_3699,6174,car,17,60
14_3710,5919,car,17,60
14_3725,557,car,17,60
16_3777,828,car,17,60
16_3866,1974,car,17,60
16_3909,4020,car,17,60
16_3932,6882,car,17,60
16_3991,106,car,17,60
16_4013,3946,car,17,60
16_4014,1067,car,17,60
16_4047,390,car,17,60
16_4103,83,car,17,60
16_4105,601,car,17,60
16_4116,17996,car,17,60
2_1834,3725,car,17,60
2_1838,6979,car,17,60
2_1847,736,car,17,60
2_1870,2374,car,17,60
2_1894,443,car,17,60
2_1922,621,car,17,60
2_1944,2175,car,17,60
2_1986,1189,car,17,60
2_1996,79,car,17,60
3_2023,409,car,17,60
3_2024,4840,car,17,60
3_2030,260,car,17,60
3_2037,977,car,17,60
3_2044,1413,car,17,60
3_2045,2265,car,17,60
3_2047,1298,car,17,60
3_2048,1921,car,17,60
3_2067,32,car,17,60
3_2075,2190,car,17,60
3_2086,169,car,17,60
3_2088,4486,car,17,60
3_2090,2079,car,17,60
3_2113,1163,car,17,60
3_2130,297,car,17,60
3_2134,811,car,17,60
3_2157,843,car,17,60
3_2158,2565,car,17,60
3_2164,5634,car,17,60
3_2179,1204,car,17,60
3_2183,742,car,17,60
3_2200,1226,car,17,60
3_2210,90,car,17,60
3_2217,488,car,17,60
3_2219,3,car,17,60
3_2220,429,car,17,60
42_0001,275,car,17,60
42_0083,127,car,17,60
42_0087,130,car,17,60
42_0096,632,car,17,60
42_0102,1204,car,17,60
42_0114,305,car,17,60
42_0120,23,car,17,60
42_0145,505,car,17,60
42_0155,259,car,17,60
42_0165,566,car,17,60
42_0168,2786,car,17,60
42_0175,35,car,17,60
42_0182,178,car,17,60
42_0191,36,car,17,60
42_0210,1049,car,17,60
42_0226,102,car,17,60
42_0277,15876,car,17,60
42_0278,4216,car,17,60
42_0279,426,car,17,60
42_0338,7883,car,17,60
42_0365,1358,car,17,60
42_0389,149,car,17,60
42_0390,704,car,17,60
42_0391,92,car,17,60
42_0399,1220,car,17,60
42_0418,76,car,17,60
42_0471,959,car,17,60
42_0478,72,car,17,60
42_0490,166,car,17,60
42_0498,23,car,17,60
42_0522,440,car,17,60
42_0538,7816,car,17,60
42_0550,467,car,17,60
42_0555,16836,car,17,60
42_0578,875,car,17,60
42_0582,1292,car,17,60
45_600,87,car,17,60
45_645,1417,car,17,60
45_665,216,car,17,60
45_679,4119,car,17,60
45_687,15438,car,17,60
45_696,870,car,17,60
45_742,4248,car,17,60
46_0788,140,car,17,60
46_0859,2693,car,17,60
46_0866,1975,car,17,60
46_0873,7,car,17,60
