Setting,Mean,Median,Std,% Non-zero
"Car, 17:00, 60 min",561.3,0.0,2015.3,28.7
"Car, 17:00, 75 min",1731.3,0.0,4626.7,39.6
"Car, 17:00, 90 min",4068.6,0.0,8203.9,46.5
"Car, 17:00, 120 min",11547.4,2077.0,14744.0,59.7
"Public transit, 16:00, 90 min",979.4,0.0,2948.6,31.9
"Public transit, 17:00, 60 min",78.0,0.0,542.3,13.1
"Public transit, 17:00, 75 min",340.3,0.0,1468.9,22.2
"Public transit, 17:00, 90 min",1024.8,0.0,3042.6,32.2
"Public transit, 17:00, 120 min",4156.6,0.0,7080.0,49.4
"Public transit, 18:00, 90 min",1028.6,0.0,3049.8,32.2
