ID,ak,mode,ak_mode,ak_log,ak_ihs,ak_log1p
10_2984,7411,car,7411,8.910720661951359,9.603867847063137,8.91085558740525
10_2993,2611,car,2611,7.8674885686991285,8.56063578593037,7.867871490396322
10_2998,29099,car,29099,10.278459088307951,10.971606269163143,10.278493453159584
10_3021,523,car,523,6.259581464064923,6.952729558603486,6.261491684321042
10_3039,26558,car,26558,10.187086299550273,10.880233480464664,10.187123952279158
10_3042,3374,car,3374,8.123854263105914,8.817001465626744,8.12415060330663
10_3060,21880,car,21880,9.993328256535918,10.686475437618073,9.99337395933065
10_3075,3827,car,3827,8.249836485425702,8.942983683055237,8.250097752572845
10_3076,5921,car,5921,8.686260632531775,9.379407820222712,8.686429508661536
10_3098,3719,car,3719,8.22121009392507,8.914357292560403,8.221478947267192
10_3126,1483,car,1483,7.301822342137932,7.994969636370959,7.302496423727326
10_3133,15493,car,15493,9.648143587996293,10.34129076959776,9.648208131191847
10_3150,957,car,957,6.863803391452954,7.55695084498355,6.86484777797086
12_3192,11758,car,11758,9.3722891389622,10.065436321330456,9.372374183823416
12_3197,140,car,140,4.941642422609304,5.634802358027258,4.948759890378168
12_3216,516,car,516,6.246106765481563,6.939254884986163,6.248042874508429
12_3217,1026,car,1026,6.933423025730715,7.626570443780554,6.934397209928558
12_3229,26941,car,26941,10.201404568800312,10.894551749704696,10.201441686258514
12_3238,485,car,485,6.184148890937483,6.877297134307935,6.186208623900494
12_3241,5389,car,5389,8.592115117933497,9.285262307101865,8.592300663903043
12_3245,623,car,623,6.434546518787453,7.127694343462521,6.436150368369428
12_3246,22320,car,22320,10.013238416495247,10.706385597557016,10.013283218359012
12_3253,830,car,830,6.721425700790643,7.414573244247764,6.7226297948554485
12_3259,3141,car,3141,8.052296499538647,8.745443705438447,8.052614818815567
12_3261,25329,car,25329,10.139705263337609,10.832852444287232,10.13974474299572
12_3262,1384,car,1384,7.232733136177615,7.925880447254759,7.233455418621439
12_3266,8533,car,8533,9.051696278536586,9.744843462530026,9.051813463747946
12_3278,16374,car,16374,9.703449989936393,10.3965971714288,9.703511060503452
12_3282,3165,car,3165,8.059908334578276,8.753055540095232,8.060224240440958
12_3290,67,car,67,4.204692619390966,4.89789548698994,4.219507705176107
12_3302,17626,car,17626,9.777130363659605,10.470277545024247,9.777187096419954
12_3304,12166,car,12166,9.40640045488065,10.099547637129653,9.406482647787449
12_3307,35506,car,35506,10.477456975266742,11.170604156024995,10.477485139124067
12_3309,82,car,82,4.406719247264253,5.099903606000664,4.418840607796598
12_3314,3302,car,3302,8.102283624480073,8.795430827969058,8.10258642539079
12_3332,50,car,50,3.912023005428146,4.605270170991424,3.9318256327243257
12_3361,5601,car,5601,8.630700432209832,9.32384762073887,8.630878955820053
12_3369,1784,car,1784,7.486613313139955,8.179760572250636,7.487173694213739
12_3380,21605,car,21605,9.980680048366034,10.673827229461567,9.98072633287693
12_3389,2465,car,2465,7.80994708647679,8.5030943081807,7.81035268372429
12_3397,33320,car,33320,10.41391309628078,11.107060277065905,10.41394310783523
13_3401,1182,car,1182,7.074963197966044,7.768110557464961,7.075808863978387
13_3426,15277,car,15277,9.634103708365723,10.32725088999685,9.634169164101305
13_3428,483,car,483,6.180016653652572,6.873164905842977,6.182084906716632
13_3434,1228,car,1228,7.113142108707088,7.806289455051244,7.113956109566034
13_3436,441,car,441,6.089044875446846,6.78219334147693,6.091309882077698
13_3439,1496,car,1496,7.310550158534422,8.003697450800432,7.311218384419629
13_3449,4165,car,4165,8.334471554600944,9.027618749572415,8.334711621820917
13_3453,4299,car,4299,8.366137716496281,9.05928491058334,8.366370301681654
13_3465,885,car,885,6.785587645007929,7.478735144760802,6.786716950605081
13_3473,250,car,250,5.521460917862246,6.214612098398192,5.5254529391317835
